Номенклатура;ТМ;Артикул;Тип упаковки;Ссылка на сайт;Состав;Под заказ;Длина 1 штуки (см);Ширина 1 штуки (см);Высота 1 штуки (см);Длина 1 упаковки (см);Ширина 1 упаковки (см);Высота 1 упаковки (см);Примечание;Минимум заказа;Кратность заказа;Фасовка;Единица измерения;Картинка;Оптовая цена;Вес в граммах;Страна
;;;;;;;;;;;;;;;;;;;;;
Игрушки;;;;;;;;;;;;;;;;;;;;;
Мягкая игрушка;;;;;;;;;;;;;;;;;;;;;
Интерьерные игрушки;;;;;;;;;;;;;;;;;;;;;
"Мягкая игрушка ""Зайка"", зеленые шорты 1047945";;1047945;Пакет;https://www.sima-land.ru/1047945;текстиль;Нет;65.0;6.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892217/0/700.jpg;360.00;246;Китай
"Мягкая игрушка ""Зайка"", клетчатые шорты 1047933";;1047933;Пакет;https://www.sima-land.ru/1047933;текстиль;Нет;70.0;14.0;14.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892163/0/700.jpg;263.00;341;Китай
"Мягкая игрушка ""Зайка"", клетчатые штанишки 1047936";;1047936;Пакет;https://www.sima-land.ru/1047936;текстиль;Нет;49.0;8.0;15.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892148/0/700.jpg;315.00;342;Китай
"Мягкая игрушка ""Зайка"", клетчатые штаны 1047952";;1047952;Пакет;https://www.sima-land.ru/1047952;текстиль;Нет;61.0;9.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892149/0/700.jpg;280.00;408;Китай
"Мягкая игрушка ""Зайка"", платье с сердцем 1047954";;1047954;Пакет;https://www.sima-land.ru/1047954;текстиль;Нет;38.0;6.0;10.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892125/0/700.jpg;171.00;142;Китай
"Мягкая игрушка ""Зайка"", полосатая юбка 1047943";;1047943;Пакет;https://www.sima-land.ru/1047943;текстиль;Нет;65.0;6.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892103/0/700.jpg;450.00;216;Китай
"Мягкая игрушка ""Зайка"", полосатое платье 1047944";;1047944;Пакет;https://www.sima-land.ru/1047944;текстиль;Нет;65.0;6.0;16.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892104/0/700.jpg;280.00;221;Китай
"Мягкая игрушка ""Зайка"", розовые пуговицы на платье 1047961";;1047961;Пакет;https://www.sima-land.ru/1047961;текстиль;Нет;36.0;5.0;9.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892166/0/700.jpg;239.00;166;Китай
"Мягкая игрушка ""Зайка"", с морковкой 1047959";;1047959;Пакет;https://www.sima-land.ru/1047959;текстиль;Нет;87.0;9.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892221/0/700.jpg;385.00;384;Китай
"Мягкая игрушка ""Зайка"", с шарфиком 1047953";;1047953;Пакет;https://www.sima-land.ru/1047953;текстиль;Нет;70.0;12.0;12.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892131/0/700.jpg;245.00;313;Китай
"Мягкая игрушка ""Зайка"", стоит с цветком 1047960";;1047960;Пакет;https://www.sima-land.ru/1047960;текстиль;Нет;87.0;9.0;13.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892105/0/700.jpg;455.00;371;Китай
"Мягкая игрушка ""Зайка"", яркий цветочек на голове 1047949";;1047949;Пакет;https://www.sima-land.ru/1047949;текстиль;Нет;45.0;9.0;11.0;;;;;1;не менее минимума;;шт;http://cdn2.static1-sima-land.com/items/892108/0/700.jpg;250.00;217;Китай
